Nudibranch species: Doris verrucosa,,,,,,,
,,,,,,,
,,AVRG,,,,,
,Nudibranch #,Length (cm),Height (cm),Width (cm),Vol. ellipsoid (mL),Wet weight (g),
,1,3.9,1.2,1.7,4.08,4.99,
,2,3.9,1.3,2.3,6.22,7.53,
,3,3.7,1.4,1.7,4.52,5.15,
,4,3.5,1.4,1.6,4.26,4.67,
,5,4.5,1.5,1.7,5.85,5.48,
,6,3.6,1.3,1.6,4.07,5.04,
,7,3.7,1.2,2.1,4.79,4.61,
,8,3.7,1.4,1.9,4.90,4.52,
,9,4.0,1.2,1.5,3.91,5.52,
,10,4.2,1.3,1.8,4.96,5.01,
,11,3.7,1.5,1.9,5.62,7.38,
,12,4.1,1.3,1.9,4.99,5.27,
,13,5.0,1.4,2.0,7.51,9.86,
,14,3.5,0.9,1.4,2.30,3.59,
,15,3.4,1.1,1.8,3.53,5.09,
,16,4.5,1.1,1.8,4.73,6.43,
,17,4.2,1.0,1.7,3.63,5.73,
,18,4.4,1.3,1.6,4.80,6.21,
,19,4.0,1.1,2.0,4.73,6.08,
,20,3.3,0.9,1.8,2.73,4.10,
,21,2.9,0.8,1.5,1.85,3.13,
,22,6.0,1.5,2.1,10.09,11.93,
,23,4.1,1.0,1.6,3.43,5.02,
,24,3.5,0.9,1.6,2.69,4.48,
,25,3.8,1.0,1.6,3.09,3.89,
,26,4.7,1.1,2.2,6.06,7.84,
,27,3.5,1.1,1.7,3.43,3.22,
,28,3.5,1.2,1.9,4.00,5.63,
,29,3.4,1.4,2.1,5.11,6.20,
,30,3.6,1.3,1.9,4.48,7.1,
,31,4.4,1.2,1.6,4.37,5.52,
,32,3.3,1.1,1.5,2.85,4.67,
,33,3.7,1.3,1.8,4.21,,
,34,4.2,1.3,1.8,5.08,5.79,
,35,3.5,0.9,1.5,2.47,3.25,
,36,3.0,1.4,2.0,4.29,4.84,
