N quadrat,N H. perlevis,Volumen Hym (mL),Date,
1,47,437.9,Jun20,
2,27,296.1,Jun20,
3,25,241.1,Jun20,
4,23,179.1,Jun20,
5,20,511.4,Jun20,
6,23,298.3,Jun20,
7,22,281.4,Jun20,
8,12,305.4,Jun20,
9,14,105.4,Jun20,
10,21,188.3,Jun20,
11,48,276.8,Jun20,
12,53,328.4,Jun20,
13,33,437.0,Jun20,
14,31,690.5,Jun20,
15,28,516.1,Jun20,
16,5,121.2,Jun20,
17,7,111.0,Jun20,
18,9,168.4,Jun20,
19,12,54.8,Jun20,
20,19,139.0,Jun20,
21,22,145.5,Jun20,
22,22,99.2,Jun20,
1,28,35.8,Nov20,
2,38,33.9,Nov20,
3,42,20.8,Nov20,
4,5,3.1,Nov20,
5,3,1.9,Nov20,
6,20,13.6,Nov20,
7,14,9.8,Nov20,
8,10,13.1,Nov20,
9,10,21.7,Nov20,
10,7,5.6,Nov20,
11,33,11.2,Nov20,
12,24,3.6,Nov20,
13,32,15.7,Nov20,
1,29,65.0,Apr21,
2,35,41.7,Apr21,
3,31,62.9,Apr21,
4,7,15.8,Apr21,
5,3,68.9,Apr21,
6,15,40.2,Apr21,
7,7,26.4,Apr21,
8,9,19.9,Apr21,
9,16,40.7,Apr21,
10,5,5.0,Apr21,
11,12,19.8,Apr21,
12,8,28.3,Apr21,
13,13,80.9,Apr21,
14,36,57.2,Apr21,
15,27,61.6,Apr21,
1,10,47.5,Jun21,
2,10,41.8,Jun21,
3,15,83.6,Jun21,
4,21,70.0,Jun21,
5,10,21.7,Jun21,
6,56,128.1,Jun21,
7,61,180.3,Jun21,
8,54,132.4,Jun21,
9,13,22.9,Jun21,
10,16,39.4,Jun21,
11,18,53.3,Jun21,
12,19,65.8,Jun21,
13,20,39.1,Jun21,
14,12,52.5,Jun21,
15,12,44.1,Jun21,
16,14,37.4,Jun21,
17,33,62.6,Jun21,
18,23,67.8,Jun21,
19,73,215.3,Jun21,
20,71,167.3,Jun21,
21,71,196.3,Jun21,
