,LOMERGAT-JUNE 2020,,,LOMERGAT-NOV 2020,,,LOMERGAT-APR 2021,,,LOMERGAT-JUNE 21,
N quadrat,N H. perlevis,Volumen Hym (mL),N quadrat,N H. perlevis,Volumen Hym (mL),N quadrat,N H. perlevis,Volumen Hym (mL),N quadrat,N H. perlevis,Volumen Hym (mL)
1,47,437.9,1,28,35.8,1,29,65.0,1,10,47.5
2,27,296.1,2,38,33.9,2,35,41.7,2,10,41.8
3,25,241.1,3,42,20.8,3,31,62.9,3,15,83.6
4,23,179.1,4,5,3.1,4,7,15.8,4,21,70.0
5,20,511.4,5,3,1.9,5,3,68.9,5,10,21.7
6,23,298.3,6,20,13.6,6,15,40.2,6,56,128.1
7,22,281.4,7,14,9.8,7,7,26.4,7,61,180.3
8,12,305.4,8,10,13.1,8,9,19.9,8,54,132.4
9,14,105.4,9,10,21.7,9,16,40.7,9,13,22.9
10,21,188.3,10,7,5.6,10,5,5.0,10,16,39.4
11,48,276.8,11,33,11.2,11,12,19.8,11,18,53.3
12,53,328.4,12,24,3.6,12,8,28.3,12,19,65.8
13,33,437.0,13,32,15.7,13,13,80.9,13,20,39.1
14,31,690.5,,,,14,36,57.2,14,12,52.5
15,28,516.1,,,,15,27,61.6,15,12,44.1
16,5,121.2,,,,,,,16,14,37.4
17,7,111.0,,,,,,,17,33,62.6
18,9,168.4,,,,,,,18,23,67.8
19,12,54.8,,,,,,,19,73,215.3
20,19,139.0,,,,,,,20,71,167.3
21,22,145.5,,,,,,,21,71,196.3
22,22,99.2,,,,,,,,,
